광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.0161303E7,2.1,3232120.0,25.0
강원특별자치도,원주시,1.0161303E7,2.1,1070176.0,8.3
강원특별자치도,강릉시,1.0161303E7,2.1,1135251.0,8.8
강원특별자치도,동해시,1.0161303E7,2.1,540858.0,4.2
강원특별자치도,태백시,1.0161303E7,2.1,119104.0,0.9
강원특별자치도,속초시,1.0161303E7,2.1,1061160.0,8.2
강원특별자치도,삼척시,1.0161303E7,2.1,551294.0,4.3
강원특별자치도,홍천군,1.0161303E7,2.1,1266044.0,9.8
강원특별자치도,횡성군,1.0161303E7,2.1,635815.0,4.9
강원특별자치도,영월군,1.0161303E7,2.1,153607.0,1.2
강원특별자치도,평창군,1.0161303E7,2.1,1096397.0,8.5
강원특별자치도,정선군,1.0161303E7,2.1,304747.0,2.4
강원특별자치도,철원군,1.0161303E7,2.1,192383.0,1.5
강원특별자치도,화천군,1.0161303E7,2.1,153968.0,1.2
강원특별자치도,양구군,1.0161303E7,2.1,148268.0,1.1
강원특별자치도,인제군,1.0161303E7,2.1,314952.0,2.4
강원특별자치도,고성군,1.0161303E7,2.1,392255.0,3.0
강원특별자치도,양양군,1.0161303E7,2.1,543807.0,4.2
경기도,의정부시,7.4704238E7,15.8,1051061.0,1.2
경기도,부천시,7.4704238E7,15.8,3402418.0,3.9
경기도,광명시,7.4704238E7,15.8,1344922.0,1.5
경기도,평택시,7.4704238E7,15.8,9284402.0,10.6
경기도,동두천시,7.4704238E7,15.8,920867.0,1.1
경기도,과천시,7.4704238E7,15.8,516374.0,0.6
경기도,구리시,7.4704238E7,15.8,646053.0,0.7
경기도,남양주시,7.4704238E7,15.8,2333742.0,2.7
경기도,오산시,7.4704238E7,15.8,1248421.0,1.4
경기도,시흥시,7.4704238E7,15.8,3792475.0,4.3
경기도,군포시,7.4704238E7,15.8,981401.0,1.1
경기도,의왕시,7.4704238E7,15.8,763083.0,0.9
경기도,하남시,7.4704238E7,15.8,1122785.0,1.3
경기도,파주시,7.4704238E7,15.8,3551275.0,4.1
경기도,이천시,7.4704238E7,15.8,1619285.0,1.9
경기도,안성시,7.4704238E7,15.8,1946041.0,2.2
경기도,김포시,7.4704238E7,15.8,5048525.0,5.8
경기도,화성시,7.4704238E7,15.8,7246184.0,8.3
경기도,광주시,7.4704238E7,15.8,1791023.0,2.0
경기도,양주시,7.4704238E7,15.8,1250750.0,1.4
경기도,포천시,7.4704238E7,15.8,1390828.0,1.6
경기도,여주시,7.4704238E7,15.8,1071441.0,1.2
경기도,연천군,7.4704238E7,15.8,214359.0,0.2
경기도,가평군,7.4704238E7,15.8,3012601.0,3.4
경기도,양평군,7.4704238E7,15.8,857718.0,1.0
경기도,수원시,7.4704238E7,15.8,6142496.0,7.0
경기도,성남시,7.4704238E7,15.8,4683735.0,5.4
경기도,안양시,7.4704238E7,15.8,1678268.0,1.9
경기도,안산시,7.4704238E7,15.8,6319718.0,7.2
경기도,고양시,7.4704238E7,15.8,6592882.0,7.5
경기도,용인시,7.4704238E7,15.8,5701891.0,6.5
경상남도,진주시,2.4565096E7,5.2,821037.0,2.8
경상남도,통영시,2.4565096E7,5.2,5027006.0,17.4
경상남도,사천시,2.4565096E7,5.2,448545.0,1.6
경상남도,김해시,2.4565096E7,5.2,2965761.0,10.3
경상남도,밀양시,2.4565096E7,5.2,826811.0,2.9
경상남도,거제시,2.4565096E7,5.2,5011922.0,17.4
경상남도,양산시,2.4565096E7,5.2,1407623.0,4.9
경상남도,의령군,2.4565096E7,5.2,111317.0,0.4
경상남도,함안군,2.4565096E7,5.2,492085.0,1.7
경상남도,창녕군,2.4565096E7,5.2,553264.0,1.9
경상남도,고성군,2.4565096E7,5.2,366830.0,1.3
경상남도,남해군,2.4565096E7,5.2,1306104.0,4.5
경상남도,하동군,2.4565096E7,5.2,252610.0,0.9
경상남도,산청군,2.4565096E7,5.2,195185.0,0.7
경상남도,함양군,2.4565096E7,5.2,166546.0,0.6
경상남도,거창군,2.4565096E7,5.2,183121.0,0.6
경상남도,합천군,2.4565096E7,5.2,163618.0,0.6
경상남도,창원시,2.4565096E7,5.2,8547234.0,29.6
경상북도,경주시,1.5328498E7,3.2,3790958.0,20.3
